 w      dos          err
 0.38   0.040240   0.000100
 0.39   0.039755   0.000100
 0.40   0.039434   0.000100
 0.41   0.039015   0.000100
 0.42   0.038670   0.000100
 0.42   0.038270   0.000100
 0.43   0.037957   0.000094
 0.44   0.037591   0.000086
 0.45   0.037151   0.000069
 0.46   0.036931   0.000089
 0.46   0.036482   0.000067
 0.47   0.036298   0.000078
 0.48   0.035995   0.000082
 0.49   0.035655   0.000075
 0.50   0.035388   0.000051
 0.50   0.035080   0.000066
 0.51   0.034799   0.000064
 0.52   0.034515   0.000086
 0.53   0.034233   0.000072
 0.54   0.033942   0.000061
 0.54   0.033685   0.000055
 0.55   0.033396   0.000055
 0.56   0.033154   0.000048
 0.57   0.032894   0.000062
 0.58   0.032634   0.000057
 0.58   0.032375   0.000045
 0.59   0.032124   0.000041
 0.60   0.031879   0.000069
 0.61   0.031644   0.000045
 0.62   0.031400   0.000048
 0.62   0.031121   0.000030
 0.63   0.030864   0.000035
 0.64   0.030697   0.000042
 0.65   0.030460   0.000029
 0.66   0.030229   0.000032
 0.66   0.030011   0.000049
 0.67   0.029797   0.000035
 0.68   0.029563   0.000032
 0.69   0.029352   0.000035
 0.70   0.029131   0.000026
 0.70   0.028941   0.000018
 0.71   0.028737   0.000015
 0.72   0.028532   0.000016
 0.73   0.028331   0.000013
 0.74   0.028133   0.000019
 0.74   0.027935   0.000010
 0.75   0.027745   0.000013
 0.76   0.027555   0.000013
 0.77   0.027368   0.000009
 0.78   0.027185   0.000006
 0.78   0.027003   0.000011
 0.79   0.026829   0.000012
 0.80   0.026656   0.000006
 0.81   0.026485   0.000007
 0.82   0.026324   0.000004
 0.82   0.026163   0.000005
 0.83   0.026007   0.000006
 0.84   0.025857   0.000004
 0.85   0.025704   0.000003
 0.86   0.025558   0.000003
 0.86   0.025440   0.000002
 0.87   0.025314   0.000001
 0.88   0.025197   0.000001
 0.89   0.025088   0.000001
 0.90   0.024988   0.000001
 0.90   0.024900   0.000000
 0.91   0.024825   0.000000
 0.92   0.024764   0.000000
 0.93   0.024720   0.000000
 0.94   0.024696   0.000000
 0.94   0.024694   0.000000
 0.95   0.024720   0.000000
 0.96   0.024778   0.000000
 0.97   0.024877   0.000000
 0.98   0.025025   0.000000
 0.98   0.025234   0.000000
 0.99   0.025520   0.000000
 1.00   0.025908   0.000000
 1.01   0.026429   0.000000
 1.02   0.027129   0.000000
 1.02   0.028081   0.000000
 1.03   0.029393   0.000000
 1.04   0.031244   0.000000
 1.05   0.033932   0.000000
 1.06   0.037940   0.000000
 1.06   0.043577   0.000000
 1.07   0.051962   0.000000
 1.08   0.090372   0.000000
 1.09   0.253921   0.000000
 1.10   0.595057   0.000000
 1.10   0.579850   0.000000
 1.11   0.456417   0.000000
 1.12   0.384645   0.000000
 1.13   0.338888   0.000000
 1.14   0.306819   0.000000
 1.14   0.282859   0.000000
 1.15   0.264139   0.000000
 1.16   0.249026   0.000000
 1.17   0.236516   0.000000
 1.18   0.225957   0.000001
 1.18   0.216902   0.000001
 1.19   0.209036   0.000002
 1.20   0.202127   0.000001
 1.21   0.196001   0.000003
 1.22   0.190526   0.000003
 1.22   0.185602   0.000005
 1.23   0.181143   0.000005
 1.24   0.177084   0.000005
 1.25   0.173373   0.000008
 1.26   0.169960   0.000007
 1.26   0.166815   0.000009
 1.27   0.163902   0.000017
 1.28   0.161202   0.000028
 1.29   0.158686   0.000030
 1.30   0.156336   0.000025
 1.30   0.154135   0.000024
 1.31   0.152070   0.000026
 1.32   0.150132   0.000027
 1.33   0.148298   0.000027
 1.34   0.146570   0.000029
 1.34   0.144929   0.000034
 1.35   0.143383   0.000034
 1.36   0.141913   0.000029
 1.37   0.140519   0.000028
 1.38   0.139190   0.000034
 1.38   0.137920   0.000034
 1.39   0.136714   0.000031
 1.40   0.135557   0.000029
 1.41   0.134451   0.000037
 1.42   0.133389   0.000042
 1.42   0.132361   0.000051
 1.43   0.131391   0.000067
 1.44   0.130448   0.000061
 1.45   0.129510   0.000039
 1.46   0.128670   0.000063
 1.46   0.127818   0.000054
 1.47   0.126998   0.000029
 1.48   0.126225   0.000048
 1.49   0.125462   0.000037
 1.50   0.124723   0.000042
 1.50   0.124013   0.000029
 1.51   0.123298   0.000028
 1.52   0.122628   0.000032
 1.53   0.121967   0.000028
 1.54   0.121321   0.000024
 1.54   0.120686   0.000025
 1.55   0.120071   0.000035
 1.56   0.119471   0.000023
 1.57   0.118878   0.000019
 1.58   0.118298   0.000023
 1.58   0.117725   0.000015
 1.59   0.117156   0.000020
 1.60   0.116609   0.000016
 1.61   0.116061   0.000013
 1.62   0.115519   0.000017
 1.62   0.114984   0.000017
 1.63   0.114452   0.000015
 1.64   0.113925   0.000018
 1.65   0.113396   0.000012
 1.66   0.112879   0.000011
 1.66   0.112359   0.000010
 1.67   0.111841   0.000009
 1.68   0.111324   0.000007
 1.69   0.110807   0.000007
 1.70   0.110292   0.000005
 1.70   0.109775   0.000005
 1.71   0.109258   0.000006
 1.72   0.108738   0.000007
 1.73   0.108223   0.000006
 1.74   0.107704   0.000005
 1.74   0.107185   0.000005
 1.75   0.106666   0.000004
 1.76   0.106146   0.000005
 1.77   0.105629   0.000003
 1.78   0.105110   0.000002
 1.78   0.104597   0.000003
 1.79   0.104084   0.000005
 1.80   0.103575   0.000005
 1.81   0.103071   0.000003
 1.82   0.102572   0.000004
 1.82   0.102079   0.000003
 1.83   0.101595   0.000006
 1.84   0.101117   0.000005
 1.85   0.100650   0.000006
 1.86   0.100194   0.000007
 1.86   0.099750   0.000006
 1.87   0.099316   0.000008
 1.88   0.098898   0.000015
 1.89   0.098493   0.000012
 1.90   0.098105   0.000008
 1.90   0.097732   0.000011
 1.91   0.097374   0.000014
 1.92   0.097033   0.000010
 1.93   0.096711   0.000013
 1.94   0.096407   0.000013
 1.94   0.096121   0.000014
 1.95   0.095851   0.000019
 1.96   0.095557   0.000013
 1.97   0.095348   0.000014
 1.98   0.095156   0.000015
 1.98   0.094960   0.000020
 1.99   0.094788   0.000019
 2.00   0.094631   0.000025
