 w      dos          err
 2.11   0.346055   0.000035
 2.13   0.344754   0.000034
 2.14   0.343454   0.000034
 2.16   0.342211   0.000034
 2.17   0.340949   0.000034
 2.19   0.339708   0.000034
 2.20   0.338467   0.000034
 2.22   0.337232   0.000034
 2.23   0.336016   0.000034
 2.25   0.334805   0.000033
 2.26   0.333613   0.000033
 2.28   0.332406   0.000033
 2.29   0.331238   0.000033
 2.31   0.330065   0.000033
 2.32   0.328895   0.000033
 2.34   0.327742   0.000033
 2.35   0.326598   0.000033
 2.37   0.325448   0.000033
 2.38   0.324317   0.000032
 2.40   0.323175   0.000032
 2.41   0.322080   0.000032
 2.43   0.320970   0.000032
 2.44   0.319832   0.000032
 2.46   0.318753   0.000032
 2.47   0.317612   0.000032
 2.49   0.316524   0.000032
 2.50   0.315386   0.000032
 2.52   0.314229   0.000031
 2.53   0.312988   0.000031
 2.55   0.311576   0.000031
 2.56   0.309715   0.000031
 2.58   0.306095   0.000031
 2.59   0.294008   0.000029
 2.61   0.284409   0.000028
 2.62   0.290148   0.000029
 2.64   0.302888   0.000030
 2.65   0.309525   0.000031
 2.67   0.305476   0.000031
 2.68   0.302652   0.000030
 2.70   0.300633   0.000030
 2.71   0.299018   0.000030
 2.73   0.297627   0.000030
 2.74   0.296438   0.000030
 2.76   0.295463   0.000030
 2.77   0.294782   0.000029
 2.79   0.294646   0.000029
 2.80   0.295487   0.000030
 2.82   0.298416   0.000030
 2.83   0.306413   0.000031
 2.85   0.330131   0.000033
 2.86   0.423102   0.000042
 2.88   0.538203   0.000053
 2.89   0.265833   0.000026
 2.91   0.246330   0.000024
 2.92   0.335575   0.000033
 2.94   0.554801   0.000054
 2.95   0.542513   0.000054
 2.97   0.419565   0.000042
 2.98   0.372447   0.000037
 3.00   0.349005   0.000035
